danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0.747,0.518,-8.103,0.355,0.698,0.000126,0.109,0.574,129.341
0.641,0.636,-6.537,0.106,0.291,0.0,0.221,0.281,119.869
0.683,0.852,-2.755,0.0636,0.0454,0.0,0.246,0.448,93.068
0.594,0.746,-5.853,0.137,0.188,0.0,0.0991,0.0802,164.231
0.788,0.731,-6.082,0.047,0.0615,0.0,0.0997,0.258,127.03
0.703,0.704,-6.117,0.0641,0.048,0.0,0.41,0.725,139.933
0.889,0.618,-5.124,0.0627,0.367,0.00438,0.105,0.444,130.021
0.372,0.689,-4.711,0.243,0.0522,0.0,0.154,0.191,193.259
0.381,0.627,-5.446,0.114,0.232,0.0,0.0803,0.458,187.835
0.588,0.744,-3.927,0.324,0.0153,0.0,0.0743,0.55,130.066
0.642,0.588,-7.754,0.342,0.544,0.0,0.246,0.525,177.056
0.492,0.516,-4.083,0.0976,0.129,4.97e-06,0.0888,0.174,100.042
0.855,0.805,-5.651,0.191,0.764,0.00708,0.302,0.469,135.009
0.68,0.76,-4.866,0.0556,0.233,0.0,0.13,0.709,82.54
0.762,0.609,-5.934,0.0369,0.042,2.78e-06,0.25,0.266,99.971
0.673,0.53,-9.074,0.0637,0.384,0.0,0.0594,0.43,122.074
0.883,0.716,-8.127,0.414,0.435,0.0,0.0801,0.761,141.066
0.726,0.828,-5.191,0.071,0.105,0.0,0.0873,0.307,125.002
0.691,0.778,-5.205,0.0722,0.0871,0.0,0.0977,0.159,143.964
0.755,0.501,-9.551,0.189,0.0867,1.45e-06,0.146,0.267,134.998
0.698,0.636,-5.844,0.034,0.167,0.0,0.125,0.313,107.282
0.64,0.637,-7.816,0.0479,0.0119,5.71e-05,0.0973,0.129,128.065
0.854,0.626,-5.14,0.0618,0.316,0.0,0.0961,0.377,140.05
0.725,0.713,-5.958,0.0484,0.224,2.13e-05,0.104,0.392,123.003
0.829,0.808,-5.734,0.257,0.379,3.01e-06,0.0735,0.57,142.952
0.833,0.728,-4.059,0.19,0.0455,0.0,0.262,0.672,126.934
0.66,0.79,-4.344,0.0537,0.282,0.0,0.299,0.556,111.071
0.701,0.623,-5.271,0.0493,0.00804,0.013,0.498,0.471,158.891
0.446,0.843,-5.366,0.156,0.00166,6.77e-06,0.186,0.186,129.132
0.547,0.554,-7.563,0.102,0.149,0.0,0.344,0.0702,82.178
0.64,0.738,-7.895,0.0567,0.124,0.0724,0.237,0.0933,119.93
0.748,0.662,-4.832,0.285,0.149,0.0,0.17,0.346,157.918
0.579,0.774,-6.34,0.164,0.164,0.0,0.131,0.476,133.722
0.722,0.646,-6.743,0.31,0.0776,0.0,0.594,0.661,136.955
0.79,0.682,-6.788,0.226,0.0533,0.0,0.0746,0.584,143.083
0.78,0.521,-5.094,0.123,0.0983,0.000125,0.0967,0.643,160.087
0.675,0.739,-4.603,0.0524,0.387,0.0,0.177,0.338,149.959
0.471,0.628,-6.197,0.187,0.269,0.0,0.195,0.19,129.996
0.404,0.529,-8.885,0.364,0.708,2.19e-05,0.219,0.36,86.711
0.801,0.724,-5.038,0.397,0.0586,0.0,0.0736,0.679,98.97
0.754,0.602,-6.785,0.428,0.237,0.0,0.151,0.587,82.043
0.874,0.487,-9.806,0.312,0.103,2.72e-06,0.103,0.724,131.088
0.816,0.711,-4.45,0.121,0.0614,0.0,0.103,0.775,140.062
0.684,0.586,-5.294,0.0973,0.462,0.0,0.0775,0.714,124.068
0.868,0.614,-4.652,0.0607,0.0277,0.0,0.0868,0.9,130.01
0.778,0.841,-4.857,0.0581,0.0415,0.0,0.0934,0.822,129.979
0.727,0.526,-8.377,0.0794,0.081,0.0,0.184,0.468,147.849
0.807,0.746,-9.595,0.143,0.341,0.000155,0.358,0.728,95.044
0.86,0.601,-7.247,0.509,0.406,0.0,0.103,0.0589,80.019
0.626,0.557,-5.541,0.0339,0.658,0.0,0.236,0.785,120.034
0.669,0.618,-7.021,0.0487,0.0908,0.0,0.0934,0.206,144.905
0.655,0.814,-5.472,0.0823,0.0698,0.0,0.107,0.69,180.082
0.718,0.774,-5.412,0.185,0.00818,0.0,0.172,0.494,104.978
0.795,0.769,-4.948,0.0529,0.0435,0.0,0.114,0.345,130.042
0.841,0.821,-3.802,0.234,0.0791,0.0,0.172,0.545,106.003
0.768,0.753,-4.482,0.185,0.0305,0.0,0.11,0.633,133.977
0.778,0.819,-3.873,0.0531,0.164,0.0,0.111,0.637,144.953
0.488,0.784,-5.837,0.0717,0.0462,0.0,0.163,0.317,88.046
0.778,0.488,-5.361,0.0489,0.0719,0.0,0.0935,0.457,133.052
0.561,0.577,-11.899,0.935,0.193,0.0,0.2,0.646,172.307
0.755,0.882,-1.957,0.0532,0.125,0.00142,0.103,0.606,99.984
0.707,0.674,-5.717,0.193,0.261,0.0,0.145,0.824,83.066
0.797,0.63,-7.601,0.0763,0.136,4.86e-06,0.207,0.761,126.006
0.81,0.649,-6.11,0.0837,0.332,0.0,0.106,0.393,123.009
0.681,0.691,-6.684,0.181,0.073,0.0,0.113,0.644,160.338
0.483,0.819,-4.404,0.0783,0.148,0.0,0.224,0.528,93.331
0.838,0.853,-5.126,0.283,0.168,0.0,0.545,0.692,119.939
