track,artist,track_id,popularity
USCITO DI GALERA,Lazza,01DXwNf1GzEJkYTbXgL0eb,74
Mentalité,Baby Gang,6bgI3JZPDLm6gDE75utatQ,78
Capri Sun,Capo Plaza,1XpmMe95dk9jh3zuOMpeU2,75
M' Manc (con Geolier & Sfera Ebbasta),"Shablo, Geolier, Sfera Ebbasta",0MLu1cFYL4ikdRTdasCQT9,73
TU MI HAI CAPITO (feat. Sfera Ebbasta),"Madame, Sfera Ebbasta",2tIyoiGw4F82z2C8zb7eZB,63
Hace Calor - Remix,"Kaleb Di Masi, Sfera Ebbasta, Rvfv, Omar Varela",3h043RAJ7tKaG1HDFeet6w,72
CENERE,Lazza,1YSlNly5I4GAGg2Toc3snK,78
Non Abbiamo Età,Luchè,0NwuXciw6eQc4edjwSBnV3,72
TÊTE (feat. Medy & VillaBanks),"AVA, Medy, VillaBanks",14XAuSrVFla2uyMiYVwQtq,71
Pleasantville,Nitro,4T7nI6RllPyFPXJtIAtC7l,67
Lei (feat. Bené),"Baby Gang, Bené",1fdL0yW2DHzcOOUF0fZFv8,71
NUOVO RANGE (con SFERA EBBASTA),"Rkomi, Sfera Ebbasta, Junior K",5YSR0sWUZk7NuIbkycxndu,70
LEI (feat. Rondodasosa),"Neima Ezza, Rondodasosa",298vG7EUMAUWmvapd4PHL8,70
PANICO (feat. Takagi & Ketra),"Lazza, Takagi & Ketra",0SsUOrXUM2gZxVLYizZfQZ,74
Toradol,Gemitaiz,3Rmv3h4ovgt9xVgWOfMlLx,67
Shakerando,Rhove,4EC028SvtlC25iHQSG2OIa,70
Mamma Mia,"Sfera Ebbasta, Rvssian",7d7xucQmFY7PoESyJm2V9J,69
Non Fare Così,Capo Plaza,769M2rTiAoL7x2lKDHLjRa,69
Body (Remix) [feat. Capo Plaza & Rondodasosa],"Tion Wayne, Russ Millions, Capo Plaza, Rondodasosa",1JAkXiY10vwLhSbcsiimrp,69
Vip In Trip,Fabri Fibra,3CxFt7ONHGfR5ls3JQqtV8,59
PIOVE (feat. Sfera Ebbasta),"Lazza, Sfera Ebbasta",6BUueuMQR4k7CuoMEsnGou,72
∞ LOVE (feat. Guè),"Marracash, Guè",0HhSB4nAJpI5expWnZL199,69
IL CIELO NELLA STANZA (feat. NSTASIA),"Salmo, NSTASIA",2fkVZYFv9hOejIsLzZy8ad,68
Senza Di Me (feat. Venerus & Franco126),"Gemitaiz, Venerus, Franco126",3xGD5KhnizETt7KQwxtUAc,68
